team,off_epa_per_play,def_epa_per_play,off_success_rate,def_success_rate_allowed,pass_epa_per_play,rush_epa_per_play,pass_def_epa_per_play,rush_def_epa_per_play,st_off_epa,st_def_epa,team_strength,off_trend,def_trend,rz_efficiency,third_down_rate,rz_def_efficiency,third_def_rate
DAL,-0.004810233018755931,-0.013826071484936548,0.4430749741829631,0.44069294615787646,0.050432467270071446,-0.08656726521246845,0.013055946812091119,-0.017045464840673173,0.15004481835988953,0.059622137429562044,0.00901583846618062,-0.11713753324632874,0.1248157452070981,0.16378502395159256,0.435922700968011,0.19947456172581227,0.36116223792845936
SEA,-8.820181707219557e-4,0.0019586966594032987,0.4492948879160042,0.4390218090300475,0.06392131545054226,-0.10391943824814455,0.06488634399831711,-0.04519603629833252,0.08647435908241705,0.06613899385123187,-0.0028407148301252527,-0.027236911221809164,-0.0557145298001044,0.16451365433726006,0.3689633362753244,0.154789441044495,0.41108217335333497
KC,0.05036146991482211,-0.018212435437122306,0.4680670911196025,0.43054041281298017,0.15484999761766005,-0.08005408418068684,0.032831640709585844,-0.08435125140914612,0.06899097587109415,0.05879101058108403,0.06857390535194441,-0.10759798982288327,-0.02045958977641774,0.16340909998578967,0.4502453463654965,0.1619883407218731,0.40358381733888415
BAL,0.08837548743891056,-0.044614977455944095,0.47346647555343213,0.4226921918987381,0.18942676023420685,0.0460041464661991,0.005019119117265807,-0.12953842561085183,0.056686274204963166,0.07874717409247137,0.13299046489485467,0.15012836209324754,0.027228353383549488,0.22292332763905395,0.452385377544161,0.13285436243651735,0.38223227684029015
CLE,-0.12920485644281432,-0.051030710239181126,0.39753693096472065,0.4027600667163833,-0.1372600172127096,-0.10739077172399328,0.004697067859760325,-0.06760331115702656,0.01522757289615331,-0.029940848161947566,-0.07817414620363318,-0.17973177362607817,-0.034369605485805525,0.14158414302928296,0.32423010030344723,0.20011485481124697,0.3470435896052746
JAX,-0.011572939156322896,0.03216482511257528,0.4363072277963582,0.4433351396149434,0.04016406515646829,-0.10542085437487271,0.12622767858210307,-0.06234709734942629,0.13751150156564076,0.0746134831978661,-0.04373776426889818,-0.04336348052198251,0.09975831922131118,0.1605112854390311,0.38633733022863803,0.16644578817576156,0.40212254266516023
NO,-0.06277356988999905,-0.046610923073672435,0.4136451275535812,0.42123766453442846,-0.016584031534247517,-0.07366225734087778,0.014366384134690087,-0.05922578074851124,-0.0399534562864368,-0.05886312050481845,-0.016162646816326613,-0.007539414659114882,0.042487346176055735,0.1715437788018433,0.37857101095852574,0.15297009078472829,0.39034539817927827
NYG,-0.09630732501094363,0.01870256105977111,0.4156915870582575,0.4515679965286099,-0.06736749217460303,-0.11797277214670136,0.10251464553191661,-0.02645491950965917,0.02375080299388255,-0.01644204819052341,-0.11500988607071475,-0.13916084529044942,-0.027207945900030193,0.1495938159670554,0.3425688179504973,0.16022495894909689,0.3980386339662447
PIT,-0.0332924251561602,-0.03377478803378889,0.42571263225937905,0.43529586674889126,0.012366676325069843,-0.08227289964941138,0.030494657001927328,-0.06982212793597523,0.11515761178630562,0.02825026215867959,4.8236287762867987e-4,0.016712198948198052,-0.04087487316520044,0.13751311024838817,0.3972279182805498,0.15855835047040007,0.37704221438971663
SF,0.055223178409161425,-0.0016526548031868538,0.46577487608019075,0.4495173960267131,0.1934535649796178,-0.030941910087256594,0.02461129507310643,-0.03960496807314829,-0.017117305551011607,0.13115054964338557,0.056875833212348285,-0.02496994809311687,0.14838800401320662,0.17620776526378185,0.44570593228589683,0.17739290838286534,0.42389133890721975
DEN,-0.030091119115968595,-0.04412415791141564,0.4247721153591538,0.43246222794498657,0.016869068850706666,-0.09840419973722798,0.0015396888381098914,-0.111137238707194,0.08146507857749913,0.09416906445351045,0.01403303879544704,0.08155409682908271,-0.06594083968148998,0.16985681050856957,0.35774138017837986,0.14263884026400075,0.3623663958622587
LV,-0.09561424106157021,-0.027667784209151145,0.41930424141287725,0.4338485778589476,-0.031201664987227103,-0.20106102197997475,0.07250185857266836,-0.10147985878627083,0.02338854410413587,-0.03588703050034671,-0.06794645685241905,-0.14302669890015193,-0.0342944997553033,0.13235270379338177,0.3708752456372185,0.17849362266735147,0.4091089767781497
GB,0.037706704245050786,-0.027445668036204837,0.45115505822174035,0.449838954025945,0.14278100417541245,-0.03154303279611167,0.013321172233929712,-0.07095741279930004,0.005626969080982636,0.06435233236717997,0.06515237228125562,0.06353118077774059,-0.055932269563210124,0.16881392258674205,0.4301124617794019,0.16280907545093198,0.3871365807733882
BUF,0.10156463139018815,-0.030510875751680218,0.474948793165092,0.44146355292406897,0.22845653726899623,0.019680015879856575,0.0502451584422733,-0.11628651561901579,0.034193313184162126,0.04147856665785454,0.1320755071418684,0.0751433047417869,0.03087747646136028,0.19305405326631864,0.4581326277392491,0.16673667403586342,0.41403553181023367
PHI,0.06913314164884465,-0.04652952612602638,0.4504901887871564,0.42954736287077494,0.14776577896296567,0.04047422929007503,-0.008738115432937753,-0.11006904159169187,0.041519920704337604,0.05364847278095869,0.11566266777487105,0.012061876731869231,-0.03130238023041301,0.17412424740010946,0.42917991440767467,0.16240310077519382,0.39802822307683106
IND,-0.07359628614681121,-0.021417538519271057,0.4141968023940594,0.43434360960676754,-0.03129438132254708,-0.10391679917019542,0.06855186954873661,-0.10277132737220432,-0.001796114860310196,0.045622396940133626,-0.052178747627540156,0.09062002612694944,0.018787790270756357,0.13435013262599468,0.365463208759632,0.17673221577476897,0.40120966059982477
NE,-0.12369343613904599,-0.021210080449558532,0.4121164094686455,0.43155372690863236,-0.08329494379425756,-0.14846487071508097,0.08355136052061848,-0.09893940916404816,-0.01356075970388481,-0.039438394641067354,-0.10248335568948747,-0.012985956566550966,0.15402580931593238,0.1388400900900901,0.3337151632805021,0.15773524720893142,0.4076470588235294
TB,0.037175888905178346,-0.015872289955690014,0.4555620762283652,0.44373983711791953,0.15537994387941625,-0.08904541798208762,0.0824784158164841,-0.13598537121105495,0.043812494639824416,-0.0014982954552761676,0.053048178860868364,0.1566417012648025,0.0014792667122079852,0.17947785585880044,0.4483748568155785,0.15731782607906158,0.38875036770467064
